Unnamed: 0,Sinhala,English
1,ලෙස,as
2,මම,I
3,ඔහුගේ,his
4,බව,that
5,ඔහු,he
6,විය,was
7,සඳහා,for
8,මත,on
9,ඇත,are
10,සමග,with
11,ඔවුන්,they
12,විය,be
13,දී,at
14,එක්,one
15,ඇති,have
16,මෙම,this
17,සිට,from
19,උණුසුම්,hot
20,වචනය,word
21,නමුත්,but
22,කුමක් ද,what
23,සමහර,some
25,එය,it
26,ඔබ,you
29,මෙම,the
30,පිළිබඳ,of
31,කිරීමට,to
33,වූ,a
35,අපි,we
36,පුළුවන්,can
37,පිටතට,out
38,වෙනත්,other
39,වූහ,were
40,වන,which
41,කරන්න,do
42,ඔවුන්ගේ,their
43,කාලය,time
44,නම්,if
45,ඇත,will
46,කොහොමද,how
47,පවසයි,said
50,කියන්න,tell
51,කරන්නේ,does
52,කට්ටලය,set
53,තුනක්,three
54,අවශ්ය,want
55,ගුවන්,air
56,හොඳින්,well
57,ද,also
58,නාට්යයේ,play
59,කුඩා,small
60,අවසානය,end
61,Put,put
62,මුල් පිටුව,home
63,කියවන්න,read
65,වරාය,port
66,විශාල,large
67,අක්ෂර වින්යාස,spell
68,එකතු,add
69,පවා,even
70,ඉඩම්,land
71,මෙතැන,here
72,කල යුතු,must
73,විශාල,big
74,ඉහළ,high
75,එවැනි,such
76,අනුගමනය,follow
77,පනත,act
78,ඇයි,why
79,අහන්න,ask
80,මිනිසුන්,men
81,වෙනස්,change
82,ගිය,went
83,ආලෝකය,light
85,කපා,off
86,අවශ්යතාව,need
87,නිවසක්,house
89,උත්සාහ,try
90,අපට,us
91,නැවත,again
93,පේදුරු,point
94,මව,mother
95,ලෝකයේ,world
96,අසල,near
97,ඉදි,build
98,ස්වයං,self
99,පොළොව,earth
100,පියා,father
101,ඕනෑම,any
102,නව,new
103,වැඩ,work
105,ගත,take
106,ලබා,get
107,ස්ථානය,place
108,සිදු,made
109,සජීවී,live
110,එහිදී,where
111,පසු,after
112,ආපසු,back
113,කුඩා,little
114,පමණක්,only
115,වටයේ,round
116,මිනිසා,man
117,වසර,year
118,පැමිණි,came
119,පෙන්වන්න,show
120,සෑම,every
121,හොඳ,good
122,මට,me
123,දෙන්න,give
125,යටතේ,under
126,නම,name
127,ඉතා,very
128,හරහා,through
129,පමණක්,just
130,ආකෘති පත්රය,form
131,දඬුවම,sentence
132,මහා,great
133,හිතන්න,think
134,කියන්න,say
135,උදව්,help
136,අඩු,low
137,මාර්ගය,line
138,වෙනස්,differ
139,අනෙක් අතට,turn
140,හේතුව,cause
141,බොහෝ,much
142,අදහස්,mean
143,පෙර,before
144,පියවර,move
145,අයිතිය,right
146,පිරිමි ළමයා,boy
147,පැරණි,old
148,ද,too
149,එම,same
150,ඇය,she
151,සියලු,all
152,එතන,there
153,කවදා ද,when
154,දක්වා,up
155,භාවිතය,use
